Year,loc,Type,TrialNumber,PlotNumber,col,row,rep,Entry,DH,DM,PHMean,TKW,GYH
2021,Debremarkose,DM21FBNHP01,1,42,2,3,3,9,64,95,101.67,27.6,5030
2021,Debremarkose,DM21FBNHP01,1,49,9,3,3,10,64,89,113.33,38,5872.5
2021,Debremarkose,DM21FBNHP01,1,46,6,3,3,11,66,92,107.67,43.6,6285
2021,Debremarkose,DM21FBNHP01,1,47,7,3,3,12,66,90,107,41.2,6685
2021,Debremarkose,DM21FBNHP01,1,41,1,3,3,13,67,94,118,32.4,6310
2021,Debremarkose,DM21FBNHP01,1,44,4,3,3,14,60,85,125,46.4,5827.5
2021,Debremarkose,DM21FBNHP01,1,55,15,3,3,15,66,92,105,33.2,5650
2021,Debremarkose,DM21FBNHP01,1,59,19,3,3,16,65,95,119.67,44.4,5387.5
2021,Debremarkose,DM21FBNHP01,1,48,8,3,3,17,64,88,106,40.4,5300
2021,Debremarkose,DM21FBNHP01,1,45,5,3,3,18,66,92,107.67,30.8,3640
2021,Debremarkose,DM21FBNHP01,1,53,13,3,3,19,69,87,118,42.4,5065
2021,Debremarkose,DM21FBNHP01,1,57,17,3,3,20,67,96,106.33,44,5832.5
2021,Holetta,HO21FBNHP01,1,11,11,1,1,1,85,140,121.7,53.6,6720.087
2021,Holetta,HO21FBNHP01,1,8,8,1,1,2,98,151,121.7,59.2,4211.662
2021,Holetta,HO21FBNHP01,1,19,19,1,1,3,80,140,111.7,45.6,5201.5
2021,Holetta,HO21FBNHP01,1,3,3,1,1,4,95,144,121.7,44.8,4797.5958
2021,Holetta,HO21FBNHP01,1,15,15,1,1,5,80,133,108.3,39.6,5920.488
2021,Holetta,HO21FBNHP01,1,17,17,1,1,6,76,127,106.7,34.4,5455.1406
2021,Holetta,HO21FBNHP01,1,2,2,1,1,7,87,135,115,36.8,4294.276
2021,Holetta,HO21FBNHP01,1,4,4,1,1,8,80,135,92,43.6,3878.7528
2021,Holetta,HO21FBNHP01,1,5,5,1,1,9,91,141,103.5,35.2,5345.9868
2021,Holetta,HO21FBNHP01,1,6,6,1,1,10,82,133,113.3,42.8,4372.7008
